DattributeId=1 Abandoned=False Version=13
AttributeType=AP AttributeValue=4 AttributeBase=0 AttributeGrowth=0
AttributeType=ODP AttributeValue=1.25 AttributeBase=0 AttributeGrowth=0
AttributeType=IDP AttributeValue=1.25 AttributeBase=0 AttributeGrowth=0
AttributeType=HP AttributeValue=0.25 AttributeBase=233.3333 AttributeGrowth=63.3333
AttributeType=ASP AttributeValue=0 AttributeBase=0 AttributeGrowth=0
AttributeType=HITP AttributeValue=1 AttributeBase=30.8772 AttributeGrowth=1.79
AttributeType=DGP AttributeValue=1 AttributeBase=15.4386 AttributeGrowth=0.895
AttributeType=CP AttributeValue=0.5 AttributeBase=0 AttributeGrowth=0
AttributeType=CRP AttributeValue=0.5 AttributeBase=0 AttributeGrowth=0
AttributeType=OABP AttributeValue=0.75 AttributeBase=0 AttributeGrowth=0
AttributeType=IABP AttributeValue=0.75 AttributeBase=0 AttributeGrowth=0
AttributeType=CDP AttributeValue=0.5 AttributeBase=0 AttributeGrowth=0
AttributeType=AVOP AttributeValue=0 AttributeBase=0 AttributeGrowth=0
AttributeType=SP AttributeValue=0 AttributeBase=0 AttributeGrowth=0

DattributeId=2 Abandoned=False Version=13
AttributeType=AP AttributeValue=4 AttributeBase=0 AttributeGrowth=0
AttributeType=ODP AttributeValue=1.25 AttributeBase=0 AttributeGrowth=0
AttributeType=IDP AttributeValue=1.25 AttributeBase=0 AttributeGrowth=0
AttributeType=HP AttributeValue=0.25 AttributeBase=233.3333 AttributeGrowth=63.3333
AttributeType=ASP AttributeValue=0 AttributeBase=0 AttributeGrowth=0
AttributeType=HITP AttributeValue=1 AttributeBase=46.3158 AttributeGrowth=2.6466
AttributeType=DGP AttributeValue=1 AttributeBase=23.1579 AttributeGrowth=1.3233
AttributeType=CP AttributeValue=0.5 AttributeBase=0 AttributeGrowth=0
AttributeType=CRP AttributeValue=0.5 AttributeBase=0 AttributeGrowth=0
AttributeType=OABP AttributeValue=0.75 AttributeBase=0 AttributeGrowth=0
AttributeType=IABP AttributeValue=0.75 AttributeBase=0 AttributeGrowth=0
AttributeType=CDP AttributeValue=0.5 AttributeBase=0 AttributeGrowth=0
AttributeType=AVOP AttributeValue=0 AttributeBase=0 AttributeGrowth=0
AttributeType=SP AttributeValue=0 AttributeBase=0 AttributeGrowth=0

DattributeId=3 Abandoned=False Version=13
AttributeType=AP AttributeValue=4 AttributeBase=0 AttributeGrowth=0
AttributeType=ODP AttributeValue=1.25 AttributeBase=0 AttributeGrowth=0
AttributeType=IDP AttributeValue=1.25 AttributeBase=0 AttributeGrowth=0
AttributeType=HP AttributeValue=0.25 AttributeBase=233.3333 AttributeGrowth=63.3333
AttributeType=ASP AttributeValue=0 AttributeBase=0 AttributeGrowth=0
