Id=1001000 MonsterLevel=1
MonsterSelfAdaptionType=AP MonsterSelfAdaptionValue=14
MonsterSelfAdaptionType=ODP MonsterSelfAdaptionValue=1530
MonsterSelfAdaptionType=IDP MonsterSelfAdaptionValue=1530
MonsterSelfAdaptionType=HP MonsterSelfAdaptionValue=236
MonsterSelfAdaptionType=ASP MonsterSelfAdaptionValue=120
MonsterSelfAdaptionType=HITP MonsterSelfAdaptionValue=134
MonsterSelfAdaptionType=DGP MonsterSelfAdaptionValue=0
MonsterSelfAdaptionType=CP MonsterSelfAdaptionValue=1840
MonsterSelfAdaptionType=CRP MonsterSelfAdaptionValue=0
MonsterSelfAdaptionType=OABP MonsterSelfAdaptionValue=1030
MonsterSelfAdaptionType=IABP MonsterSelfAdaptionValue=1040
MonsterSelfAdaptionType=CDP MonsterSelfAdaptionValue=6219
MonsterSelfAdaptionType=AVOP MonsterSelfAdaptionValue=0
MonsterSelfAdaptionType=SP MonsterSelfAdaptionValue=300

Id=1001001 MonsterLevel=1
MonsterSelfAdaptionType=AP MonsterSelfAdaptionValue=17
MonsterSelfAdaptionType=ODP MonsterSelfAdaptionValue=1845
MonsterSelfAdaptionType=IDP MonsterSelfAdaptionValue=1770
MonsterSelfAdaptionType=HP MonsterSelfAdaptionValue=269
MonsterSelfAdaptionType=ASP MonsterSelfAdaptionValue=120
MonsterSelfAdaptionType=HITP MonsterSelfAdaptionValue=155
MonsterSelfAdaptionType=DGP MonsterSelfAdaptionValue=0
MonsterSelfAdaptionType=CP MonsterSelfAdaptionValue=2068
MonsterSelfAdaptionType=CRP MonsterSelfAdaptionValue=0
MonsterSelfAdaptionType=OABP MonsterSelfAdaptionValue=1080
MonsterSelfAdaptionType=IABP MonsterSelfAdaptionValue=1140
MonsterSelfAdaptionType=CDP MonsterSelfAdaptionValue=7107
MonsterSelfAdaptionType=AVOP MonsterSelfAdaptionValue=0
MonsterSelfAdaptionType=SP MonsterSelfAdaptionValue=300

Id=1001002 MonsterLevel=1
MonsterSelfAdaptionType=AP MonsterSelfAdaptionValue=8
MonsterSelfAdaptionType=ODP MonsterSelfAdaptionValue=2040
MonsterSelfAdaptionType=IDP MonsterSelfAdaptionValue=1860
MonsterSelfAdaptionType=HP MonsterSelfAdaptionValue=5253
MonsterSelfAdaptionType=ASP MonsterSelfAdaptionValue=120
MonsterSelfAdaptionType=HITP MonsterSelfAdaptionValue=210
MonsterSelfAdaptionType=DGP MonsterSelfAdaptionValue=0
MonsterSelfAdaptionType=CP MonsterSelfAdaptionValue=3153
MonsterSelfAdaptionType=CRP MonsterSelfAdaptionValue=0
MonsterSelfAdaptionType=OABP MonsterSelfAdaptionValue=1350
MonsterSelfAdaptionType=IABP MonsterSelfAdaptionValue=1490
MonsterSelfAdaptionType=CDP MonsterSelfAdaptionValue=8231
MonsterSelfAdaptionType=AVOP MonsterSelfAdaptionValue=0
MonsterSelfAdaptionType=SP MonsterSelfAdaptionValue=300

Id=1001100 MonsterLevel=1
MonsterSelfAdaptionType=AP MonsterSelfAdaptionValue=6
MonsterSelfAdaptionType=ODP MonsterSelfAdaptionValue=3060
MonsterSelfAdaptionType=IDP MonsterSelfAdaptionValue=3060
MonsterSelfAdaptionType=HP MonsterSelfAdaptionValue=471
MonsterSelfAdaptionType=ASP MonsterSelfAdaptionValue=120
MonsterSelfAdaptionType=HITP MonsterSelfAdaptionValue=134
MonsterSelfAdaptionType=DGP MonsterSelfAdaptionValue=0
MonsterSelfAdaptionType=CP MonsterSelfAdaptionValue=1840
MonsterSelfAdaptionType=CRP MonsterSelfAdaptionValue=0
MonsterSelfAdaptionType=OABP MonsterSelfAdaptionValue=1030
MonsterSelfAdaptionType=IABP MonsterSelfAdaptionValue=1040
MonsterSelfAdaptionType=CDP MonsterSelfAdaptionValue=6219
MonsterSelfAdaptionType=AVOP MonsterSelfAdaptionValue=0
MonsterSelfAdaptionType=SP MonsterSelfAdaptionValue=300

Id=1001101 MonsterLevel=1
MonsterSelfAdaptionType=AP MonsterSelfAdaptionValue=7
MonsterSelfAdaptionType=ODP MonsterSelfAdaptionValue=3690
MonsterSelfAdaptionType=IDP MonsterSelfAdaptionValue=3540
MonsterSelfAdaptionType=HP MonsterSelfAdaptionValue=538
MonsterSelfAdaptionType=ASP MonsterSelfAdaptionValue=120
MonsterSelfAdaptionType=HITP MonsterSelfAdaptionValue=155
MonsterSelfAdaptionType=DGP MonsterSelfAdaptionValue=0
MonsterSelfAdaptionType=CP MonsterSelfAdaptionValue=2068
MonsterSelfAdaptionType=CRP MonsterSelfAdaptionValue=0
MonsterSelfAdaptionType=OABP MonsterSelfAdaptionValue=1080
MonsterSelfAdaptionType=IABP MonsterSelfAdaptionValue=1140
MonsterSelfAdaptionType=CDP MonsterSelfAdaptionValue=7107
MonsterSelfAdaptionType=AVOP MonsterSelfAdaptionValue=0
MonsterSelfAdaptionType=SP MonsterSelfAdaptionValue=300

Id=1001102 MonsterLevel=1
MonsterSelfAdaptionType=AP MonsterSelfAdaptionValue=8
MonsterSelfAdaptionType=ODP MonsterSelfAdaptionValue=4080
MonsterSelfAdaptionType=IDP MonsterSelfAdaptionValue=3720
MonsterSelfAdaptionType=HP MonsterSelfAdaptionValue=3940
MonsterSelfAdaptionType=ASP MonsterSelfAdaptionValue=120
MonsterSelfAdaptionType=HITP MonsterSelfAdaptionValue=210
MonsterSelfAdaptionType=DGP MonsterSelfAdaptionValue=0
MonsterSelfAdaptionType=CP MonsterSelfAdaptionValue=3153
MonsterSelfAdaptionType=CRP MonsterSelfAdaptionValue=0
MonsterSelfAdaptionType=OABP MonsterSelfAdaptionValue=1350
MonsterSelfAdaptionType=IABP MonsterSelfAdaptionValue=1490
MonsterSelfAdaptionType=CDP MonsterSelfAdaptionValue=8231
MonsterSelfAdaptionType=AVOP MonsterSelfAdaptionValue=0
MonsterSelfAdaptionType=SP MonsterSelfAdaptionValue=300

Id=1001200 MonsterLevel=1
MonsterSelfAdaptionType=AP MonsterSelfAdaptionValue=11
MonsterSelfAdaptionType=ODP MonsterSelfAdaptionValue=3060
MonsterSelfAdaptionType=IDP MonsterSelfAdaptionValue=3060
MonsterSelfAdaptionType=HP MonsterSelfAdaptionValue=236
MonsterSelfAdaptionType=ASP MonsterSelfAdaptionValue=120
MonsterSelfAdaptionType=HITP MonsterSelfAdaptionValue=134
MonsterSelfAdaptionType=DGP MonsterSelfAdaptionValue=0
MonsterSelfAdaptionType=CP MonsterSelfAdaptionValue=1840
MonsterSelfAdaptionType=CRP MonsterSelfAdaptionValue=0
MonsterSelfAdaptionType=OABP MonsterSelfAdaptionValue=1030
MonsterSelfAdaptionType=IABP MonsterSelfAdaptionValue=1040
MonsterSelfAdaptionType=CDP MonsterSelfAdaptionValue=6219
MonsterSelfAdaptionType=AVOP MonsterSelfAdaptionValue=0
MonsterSelfAdaptionType=SP MonsterSelfAdaptionValue=300

Id=1001201 MonsterLevel=1
MonsterSelfAdaptionType=AP MonsterSelfAdaptionValue=13
MonsterSelfAdaptionType=ODP MonsterSelfAdaptionValue=3690
MonsterSelfAdaptionType=IDP MonsterSelfAdaptionValue=3540
MonsterSelfAdaptionType=HP MonsterSelfAdaptionValue=269
MonsterSelfAdaptionType=ASP MonsterSelfAdaptionValue=120
MonsterSelfAdaptionType=HITP MonsterSelfAdaptionValue=155
MonsterSelfAdaptionType=DGP MonsterSelfAdaptionValue=0
MonsterSelfAdaptionType=CP MonsterSelfAdaptionValue=2068
MonsterSelfAdaptionType=CRP MonsterSelfAdaptionValue=0
MonsterSelfAdaptionType=OABP MonsterSelfAdaptionValue=1080
MonsterSelfAdaptionType=IABP MonsterSelfAdaptionValue=1140
MonsterSelfAdaptionType=CDP MonsterSelfAdaptionValue=7107
MonsterSelfAdaptionType=AVOP MonsterSelfAdaptionValue=0
MonsterSelfAdaptionType=SP MonsterSelfAdaptionValue=300

Id=1001202 MonsterLevel=1
MonsterSelfAdaptionType=AP MonsterSelfAdaptionValue=8
MonsterSelfAdaptionType=ODP MonsterSelfAdaptionValue=4080
MonsterSelfAdaptionType=IDP MonsterSelfAdaptionValue=3720
MonsterSelfAdaptionType=HP MonsterSelfAdaptionValue=3940
MonsterSelfAdaptionType=ASP MonsterSelfAdaptionValue=120
MonsterSelfAdaptionType=HITP MonsterSelfAdaptionValue=210
MonsterSelfAdaptionType=DGP MonsterSelfAdaptionValue=0
MonsterSelfAdaptionType=CP MonsterSelfAdaptionValue=3153
MonsterSelfAdaptionType=CRP MonsterSelfAdaptionValue=0
MonsterSelfAdaptionType=OABP MonsterSelfAdaptionValue=1350
MonsterSelfAdaptionType=IABP MonsterSelfAdaptionValue=1490
MonsterSelfAdaptionType=CDP MonsterSelfAdaptionValue=8231
MonsterSelfAdaptionType=AVOP MonsterSelfAdaptionValue=0
MonsterSelfAdaptionType=SP MonsterSelfAdaptionValue=300

Id=1002000 MonsterLevel=2
MonsterSelfAdaptionType=AP MonsterSelfAdaptionValue=16
MonsterSelfAdaptionType=ODP MonsterSelfAdaptionValue=1530
MonsterSelfAdaptionType=IDP MonsterSelfAdaptionValue=1530
MonsterSelfAdaptionType=HP MonsterSelfAdaptionValue=257
MonsterSelfAdaptionType=ASP MonsterSelfAdaptionValue=120
MonsterSelfAdaptionType=HITP MonsterSelfAdaptionValue=139
MonsterSelfAdaptionType=DGP MonsterSelfAdaptionValue=0
MonsterSelfAdaptionType=CP MonsterSelfAdaptionValue=1862
MonsterSelfAdaptionType=CRP MonsterSelfAdaptionValue=0
MonsterSelfAdaptionType=OABP MonsterSelfAdaptionValue=1030
MonsterSelfAdaptionType=IABP MonsterSelfAdaptionValue=1040
MonsterSelfAdaptionType=CDP MonsterSelfAdaptionValue=6219
MonsterSelfAdaptionType=AVOP MonsterSelfAdaptionValue=0
MonsterSelfAdaptionType=SP MonsterSelfAdaptionValue=300

Id=1002001 MonsterLevel=2
MonsterSelfAdaptionType=AP MonsterSelfAdaptionValue=18
MonsterSelfAdaptionType=ODP MonsterSelfAdaptionValue=1845
